# Data source: Evaluated Nuclear Data File library (ENDF/B-VII.1; Chadwick et al. 2011)
# Nuclide selection originally from Hotokezaka et al. https://github.com/hotokezaka/HeatingRate
#
# Q, E_gamma, E_elec and meanlife are taken from the ENDF/B-VII.1 decay sublibrary, MF=8/MT=457.
# Q is the branching-ratio-weighted sum of the mode Q values, so it covers every decay branch of
# the nuclide including the beta-delayed neutron ones. E_gamma and E_elec are the tabulated
# average decay energies EEM (all electromagnetic radiation: gamma rays and X-rays) and ELP (all
# light particles: continuum betas plus conversion and Auger electrons), both averaged over one
# decay of the parent summed over its branches. They are not the averages of the tabulated
# spectra, which omit the X-ray and discrete-electron components and are absent altogether for
# the nuclides that ENDF evaluates from systematics.
# E_neutrino is the balance Q - EEM - ELP - EHP and is not read by ARTIS.
# One deviation from ENDF: Ta-188 uses the ENSDF half-life of 19.6(20) s rather than the 20 s
# ENDF rounds it to. ENDF assigns its parent Hf-188, which has no adopted ENSDF half-life, the
# same estimated 20 s, and two nuclides of one decay chain sharing a decay constant makes the
# Bateman solution singular.
# For a nuclide that alphadecays.txt gives a beta-minus branching ratio below one, E_elec is
# instead the average of the beta continuum alone, because the reader divides this column by that
# branching ratio and the discrete electrons of ELP are summed over all branches.
#
# A, Z, Q[MeV], E_gamma[MeV], E_elec[MeV], E_neutrino[MeV], meanlife[s]
115 46 4.55701 2.71576 0.717567 1.12368 36.0674
115 47 3.09358 0.449512 1.08412 1.55995 1731.23
115 48 1.10974 0.192526 0.318706 0.598508 277655
115 49 0.5 0 0.154 0.346 2.00778e+22
116 44 6.57039 1.60011 2.20576 2.76424 0.29431
116 45 9.08176 3.4537 2.52189 3.10594 0.981033
116 46 2.61 0.158018 1.012 1.43998 17.0238
116 47 6.176 1.74963 1.95131 2.47506 341.919
116 48 2.80871 0 1.40436 1.40436 1.41137e+27
116 49 3.27835 0.0195928 1.36596 1.8928 20.342
117 44 9.30373 1.84097 3.42018 4.04128 0.204863
117 45 7.50526 1.51787 2.69722 3.28848 0.634786
117 46 5.75767 3.10892 1.09159 1.55715 6.20359
117 47 4.21929 1.3027 1.30484 1.61176 105.028
117 48 2.233 1.07845 0.429319 0.725233 12932.3
117 49 1.4539 0.690602 0.266858 0.49644 3739.47
118 44 7.55166 1.44838 2.75415 3.34297 0.177451
118 45 10.2856 3.08225 3.28382 3.91045 0.383757
118 46 4.08172 0.418022 1.56454 2.09916 2.74112
118 47 7.15186 2.96508 1.81904 2.36774 5.42453
118 48 0.524 0 0.1629 0.3611 4354.05
118 49 4.425 0.0778264 1.88027 2.46691 7.21348
119 44 10.1284 3.43641 3.03674 3.64715 0.233717
119 45 8.29837 1.49464 3.07704 3.69214 0.246701
119 46 7.23803 1.30883 2.66798 3.26122 1.32728
119 47 5.2902 1.3361 1.83344 2.12066 3.02966
119 48 3.44918 1.48899 0.78813 1.17207 232.851
119 49 2.35636 0.714221 0.632653 1.00949 207.748
120 44 8.62286 1.64333 3.17219 3.7887 0.214962
120 45 11.3387 3.57646 3.55771 4.19342 0.196207
120 46 5.34155 1.00461 1.89468 2.44227 0.721348
120 47 8.30585 3.41329 2.16221 2.73034 1.77451
120 48 1.77 0 0.681 1.089 73.2889
120 49 5.37 0.256568 2.24411 2.86932 4.4435
121 45 9.40186 1.45106 3.62438 4.26526 0.217847
121 46 8.14552 3.28698 2.14852 2.71002 0.411168
121 47 6.62648 1.34462 2.41903 2.86283 1.1253
121 48 4.56846 1.66233 1.20647 1.69965 19.4764
121 49 3.36228 0.922981 0.986285 1.45301 33.3263
121 50 0.3906 0 0.11582 0.27478 140386
